operation,timestamp_us,latency_us
COMMIT,1715138220433987,1005506
COMMIT,1715138221441934,1004939
COMMIT,1715138222447305,1007198
COMMIT,1715138223454771,1004259
COMMIT,1715138224466764,1004499
COMMIT,1715138225473196,1003838
COMMIT,1715138226479406,1003801
COMMIT,1715138227483685,1004067
COMMIT,1715138228489594,1003452
COMMIT,1715138229495559,1003268
COMMIT,1715138230499165,1004666
COMMIT,1715138231504281,1002313
COMMIT,1715138232506780,1003360
COMMIT,1715138233510506,1003962
COMMIT,1715138234515124,1004431
COMMIT,1715138235520035,1004302
COMMIT,1715138236527318,1003171
COMMIT,1715138237531459,1002729
COMMIT,1715138238535886,1003408
COMMIT,1715138239539692,1004368
COMMIT,1715138240544263,1003886
COMMIT,1715138241548629,1004455
COMMIT,1715138242556986,1005019
COMMIT,1715138243562434,1001548
COMMIT,1715138244565204,1004883
COMMIT,1715138245571868,1003358
COMMIT,1715138246576755,1003534
COMMIT,1715138247582869,1003388
COMMIT,1715138248586546,1005098
COMMIT,1715138249592068,1004417
COMMIT,1715138250601558,1002574
COMMIT,1715138251604340,1004037
COMMIT,1715138252611388,1005137
COMMIT,1715138253616944,1004474
COMMIT,1715138254623117,1003320
COMMIT,1715138255626827,1003235
COMMIT,1715138256630376,1004099
COMMIT,1715138257636876,1004641
